Directive ID,Administration,President,Directive Type,Number,Title,Signed Date,Published Date,Federal Register Citation,Federal Register URL,Official PDF URL,Related Directive IDs,Relationship Notes,First Seen,Last Changed,Content Fingerprint,Review Status,ARRP Record IDs,Source IDs,Disposition Rationale,Reviewed Date
2017-12621,Trump I,Donald Trump,Determination,,Presidential Determination Pursuant to Section 4533(a)(5) of the Defense Production Act of 1950,,2017-06-15,82 FR 27607,https://www.federalregister.gov/documents/2017/06/15/2017-12621/presidential-determination-pursuant-to-section-4533a5-of-the-defense-production-act-of-1950,https://www.govinfo.gov/content/pkg/FR-2017-06-15/pdf/2017-12621.pdf,,,2026-07-21,2026-07-21,c06ff28de7d30b91624161cfe7e909390c629449ec36624f129a7d9bf534502d,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2018-01709,Trump I,Donald Trump,Memorandum,,Delegation of Responsibilities Under the Frank R. Wolf International Religious Freedom Act of 2016,,2018-01-26,83 FR 3935,https://www.federalregister.gov/documents/2018/01/26/2018-01709/delegation-of-responsibilities-under-the-frank-r-wolf-international-religious-freedom-act-of-2016,https://www.govinfo.gov/content/pkg/FR-2018-01-26/pdf/2018-01709.pdf,,,2026-07-21,2026-07-21,c437b704ee4c42ce0c5598cb76e39fd459aa5ed03c0f368b66e862a09147c1f6,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2019-03345,Trump I,Donald Trump,Other,,Establishment of the United States Space Force,,2019-02-25,84 FR 6049,https://www.federalregister.gov/documents/2019/02/25/2019-03345/establishment-of-the-united-states-space-force,https://www.govinfo.gov/content/pkg/FR-2019-02-25/pdf/2019-03345.pdf,,,2026-07-21,2026-07-21,bece5c0d400dc84643bd3b10ffd47efabe41222d302cf4841e55c1e9297bb88b,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2020-18360,Trump I,Donald Trump,Executive Order,,Regarding the Acquisition of Musical.ly by ByteDance Ltd.,,2020-08-19,85 FR 51297,https://www.federalregister.gov/documents/2020/08/19/2020-18360/regarding-the-acquisition-of-musically-by-bytedance-ltd,https://www.govinfo.gov/content/pkg/FR-2020-08-19/pdf/2020-18360.pdf,,,2026-07-21,2026-07-21,a9056b58c625b600df1ab635a8558dfb396f61ad36ed68a77745b30ada69bbee,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2020-24912,Trump I,Donald Trump,Memorandum,,Presidential Determination on Refugee Admissions for Fiscal Year 2021,,2020-11-06,85 FR 71219,https://www.federalregister.gov/documents/2020/11/06/2020-24912/presidential-determination-on-refugee-admissions-for-fiscal-year-2021,https://www.govinfo.gov/content/pkg/FR-2020-11-06/pdf/2020-24912.pdf,,,2026-07-21,2026-07-21,c65aedf0b538ec2c51ef7121ec24091a46992ac7feac84a27aef917e52a62a63,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-04237,Biden,Joseph R. Biden Jr.,Memorandum,,"Advancing the Human Rights of Lesbian, Gay, Bisexual, Transgender, Queer, and Intersex Persons Around the World",,2021-02-26,86 FR 11843,https://www.federalregister.gov/documents/2021/02/26/2021-04237/advancing-the-human-rights-of-lesbian-gay-bisexual-transgender-queer-and-intersex-persons-around-the,https://www.govinfo.gov/content/pkg/FR-2021-02-26/pdf/2021-04237.pdf,,,2026-07-21,2026-07-21,4f29ba00656bd764ec699ee2151c4c2eb6f1910e320f105e0f2137b0facf7b5c,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2022-18116,Biden,Joseph R. Biden Jr.,Memorandum,,Continuation of U.S. Drug Interdiction Assistance to the Government of Colombia,,2022-08-19,87 FR 51233,https://www.federalregister.gov/documents/2022/08/19/2022-18116/continuation-of-us-drug-interdiction-assistance-to-the-government-of-colombia,https://www.govinfo.gov/content/pkg/FR-2022-08-19/pdf/2022-18116.pdf,,,2026-07-21,2026-07-21,e68457559c137736da70fe69aa4fdf72449fa6db7b70f933c24138c86bf8aff0,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2024-10966,Biden,Joseph R. Biden Jr.,Notice,,Regarding the Acquisition of Certain Real Property of Cheyenne Leads by MineOne Cloud Computing Investment I L.P.,,2024-05-16,89 FR 43301,https://www.federalregister.gov/documents/2024/05/16/2024-10966/regarding-the-acquisition-of-certain-real-property-of-cheyenne-leads-by-mineone-cloud-computing,https://www.govinfo.gov/content/pkg/FR-2024-05-16/pdf/2024-10966.pdf,,,2026-07-21,2026-07-21,b194f3ad617bfc3e19960861f97fb1fab3c8ac5c2b795b143253cb1104095bbe,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2024-12487,Biden,Joseph R. Biden Jr.,Other,,"Authorizing Cameron County, Texas, To Construct, Maintain, and Operate a Vehicular and Pedestrian Border Crossing Near Brownsville, Texas, at the International Boundary Between the United States and Mexico",,2024-06-05,89 FR 48243,https://www.federalregister.gov/documents/2024/06/05/2024-12487/authorizing-cameron-county-texas-to-construct-maintain-and-operate-a-vehicular-and-pedestrian-border,https://www.govinfo.gov/content/pkg/FR-2024-06-05/pdf/2024-12487.pdf,,,2026-07-21,2026-07-21,8ad872e659307f3f250de419860e7885e21542b12fd1538cfbfaaecda136509d,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2024-12489,Biden,Joseph R. Biden Jr.,Other,,"Authorizing Maverick County, Texas, To Construct, Maintain, and Operate a Vehicular, Pedestrian, and Rail Border Crossing Near Eagle Pass, Texas, at the International Boundary Between the United States and Mexico",,2024-06-05,89 FR 48247,https://www.federalregister.gov/documents/2024/06/05/2024-12489/authorizing-maverick-county-texas-to-construct-maintain-and-operate-a-vehicular-pedestrian-and-rail,https://www.govinfo.gov/content/pkg/FR-2024-06-05/pdf/2024-12489.pdf,,,2026-07-21,2026-07-21,50013e270ae9ca5501ecae1f7fe044d564e4fa2df97e1c2d58ab2daaa206ffdf,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2024-12490,Biden,Joseph R. Biden Jr.,Other,,"Authorizing the City of Laredo, Texas, To Expand and Continue To Maintain and Operate a Vehicular and Pedestrian Border Crossing at the World Trade Bridge Land Port of Entry",,2024-06-05,89 FR 48251,https://www.federalregister.gov/documents/2024/06/05/2024-12490/authorizing-the-city-of-laredo-texas-to-expand-and-continue-to-maintain-and-operate-a-vehicular-and,https://www.govinfo.gov/content/pkg/FR-2024-06-05/pdf/2024-12490.pdf,,,2026-07-21,2026-07-21,60e4be0e5fe5c1ed70468bdf2a1f88afa7024f310a1fee9b757514a312650651,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
C1-2019-19930,Trump I,Donald Trump,Proclamation,,Correction,,2019-09-16,84 FR 48549,https://www.federalregister.gov/documents/2019/09/16/C1-2019-19930/correction,https://www.govinfo.gov/content/pkg/FR-2019-09-16/pdf/C1-2019-19930.pdf,2019-19930,,2026-07-21,2026-07-21,4ac74d4bfdf4005438af67d86f2d5e59346b878d5fb4a36bf477f27d533a211a,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-01798,Trump I,Donald Trump,Proclamation,9570,National Day of Patriotic Devotion,2017-01-20,2017-01-24,82 FR 8349,https://www.federalregister.gov/documents/2017/01/24/2017-01798/national-day-of-patriotic-devotion,https://www.govinfo.gov/content/pkg/FR-2017-01-24/pdf/2017-01798.pdf,,,2026-07-21,2026-07-21,6d3297591b22cd59dab1ac81e730a95444b8a00d6288e950a21cd2131223209b,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-01799,Trump I,Donald Trump,Executive Order,13765,Minimizing the Economic Burden of the Patient Protection and Affordable Care Act Pending Repeal,2017-01-20,2017-01-24,82 FR 8351,https://www.federalregister.gov/documents/2017/01/24/2017-01799/minimizing-the-economic-burden-of-the-patient-protection-and-affordable-care-act-pending-repeal,https://www.govinfo.gov/content/pkg/FR-2017-01-24/pdf/2017-01799.pdf,,"Revoked by: EO 14009, January 28, 2021",2026-07-21,2026-07-21,54abf3f385e10620cf507bb74fa6c268ceda98211556fd7786a3209af8707d54,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-01842,Trump I,Donald Trump,Memorandum,,Hiring Freeze,2017-01-23,2017-01-25,82 FR 8493,https://www.federalregister.gov/documents/2017/01/25/2017-01842/hiring-freeze,https://www.govinfo.gov/content/pkg/FR-2017-01-25/pdf/2017-01842.pdf,,,2026-07-21,2026-07-21,5824461870f8806d6b73821214bc72a3d645c63a876cc39fc09b8495e43d66c1,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-01843,Trump I,Donald Trump,Memorandum,,The Mexico City Policy,2017-01-23,2017-01-25,82 FR 8495,https://www.federalregister.gov/documents/2017/01/25/2017-01843/the-mexico-city-policy,https://www.govinfo.gov/content/pkg/FR-2017-01-25/pdf/2017-01843.pdf,,,2026-07-21,2026-07-21,dccb206724355fffe67a0772f1fcba24fb7ab8c7b3793108816b6b6782ed2c35,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-01845,Trump I,Donald Trump,Memorandum,,Withdrawal of the United States From the Trans- Pacific Partnership Negotiations and Agreement,2017-01-23,2017-01-25,82 FR 8497,https://www.federalregister.gov/documents/2017/01/25/2017-01845/withdrawal-of-the-united-states-from-the-trans--pacific-partnership-negotiations-and-agreement,https://www.govinfo.gov/content/pkg/FR-2017-01-25/pdf/2017-01845.pdf,,,2026-07-21,2026-07-21,29f8cf8e131b639eb1d1444ee953c69fb0eb3a0a82ec53f090f3470ef70e1ebc,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-02029,Trump I,Donald Trump,Executive Order,13766,Expediting Environmental Reviews and Approvals for High Priority Infrastructure Projects,2017-01-24,2017-01-30,82 FR 8657,https://www.federalregister.gov/documents/2017/01/30/2017-02029/expediting-environmental-reviews-and-approvals-for-high-priority-infrastructure-projects,https://www.govinfo.gov/content/pkg/FR-2017-01-30/pdf/2017-02029.pdf,,"See: EO 13807, August 15, 2017; Revoked by: EO 13990, January 20, 2021",2026-07-21,2026-07-21,7150e4f12accf50a011d9d3eb5ed2fc34be511ed1f79a8118566a0bef7fbbac6,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-02031,Trump I,Donald Trump,Memorandum,,Construction of American Pipelines,2017-01-24,2017-01-30,82 FR 8659,https://www.federalregister.gov/documents/2017/01/30/2017-02031/construction-of-american-pipelines,https://www.govinfo.gov/content/pkg/FR-2017-01-30/pdf/2017-02031.pdf,,,2026-07-21,2026-07-21,3dcced884193e150c9d0e720568b2e7a9379f0dbda0bc0069f0c2442dcb1581f,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-02032,Trump I,Donald Trump,Memorandum,,Construction of the Dakota Access Pipeline,2017-01-24,2017-01-30,82 FR 8661,https://www.federalregister.gov/documents/2017/01/30/2017-02032/construction-of-the-dakota-access-pipeline,https://www.govinfo.gov/content/pkg/FR-2017-01-30/pdf/2017-02032.pdf,R1-2017-02032,,2026-07-21,2026-07-21,9fa41176023e812f794b428b5d477d01a6ddbcdc97aa0fd05764552c017febb6,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-02035,Trump I,Donald Trump,Memorandum,,Construction of the Keystone XL Pipeline,2017-01-24,2017-01-30,82 FR 8663,https://www.federalregister.gov/documents/2017/01/30/2017-02035/construction-of-the-keystone-xl-pipeline,https://www.govinfo.gov/content/pkg/FR-2017-01-30/pdf/2017-02035.pdf,,,2026-07-21,2026-07-21,fc781f7cbf4c84d04e6cdfad21ffbcd8c80878aca5afd3a07c922e330df3b27a,Routed,HOR-044,SRC-1279,Completed baseline screening linked this directive to the listed ARRP and source-development records.,2026-07-21
2017-02044,Trump I,Donald Trump,Memorandum,,Streamlining Permitting and Reducing Regulatory Burdens for Domestic Manufacturing,2017-01-24,2017-01-30,82 FR 8667,https://www.federalregister.gov/documents/2017/01/30/2017-02044/streamlining-permitting-and-reducing-regulatory-burdens-for-domestic-manufacturing,https://www.govinfo.gov/content/pkg/FR-2017-01-30/pdf/2017-02044.pdf,,,2026-07-21,2026-07-21,aeae5f637ff1e5e8a7ff1cea5330756b0effdde84d439aed9f6b30b44fbceacf,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
R1-2017-02032,Trump I,Donald Trump,Memorandum,,Construction of the Dakota Access Pipeline,2017-01-24,2017-02-17,82 FR 11129,https://www.federalregister.gov/documents/2017/02/17/R1-2017-02032/construction-of-the-dakota-access-pipeline,https://www.govinfo.gov/content/pkg/FR-2017-02-17/pdf/R1-2017-02032.pdf,2017-02032,,2026-07-21,2026-07-21,378d41e630debf9b46a990d55199b0d1ab93070f92ad5e54cfc974d922eae412,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-02092,Trump I,Donald Trump,Proclamation,9571,"National School Choice Week, 2017",2017-01-25,2017-01-30,82 FR 8791,https://www.federalregister.gov/documents/2017/01/30/2017-02092/national-school-choice-week-2017,https://www.govinfo.gov/content/pkg/FR-2017-01-30/pdf/2017-02092.pdf,,,2026-07-21,2026-07-21,51f1736fdf90a50e701aca8daba48c82203138b841b7d404848aeef04bcfb80d,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-02095,Trump I,Donald Trump,Executive Order,13767,Border Security and Immigration Enforcement Improvements,2017-01-25,2017-01-30,82 FR 8793,https://www.federalregister.gov/documents/2017/01/30/2017-02095/border-security-and-immigration-enforcement-improvements,https://www.govinfo.gov/content/pkg/FR-2017-01-30/pdf/2017-02095.pdf,,"Revoked by: EO 14010, February 2, 2021",2026-07-21,2026-07-21,4dd010305efb336d9951b9e518f8e847c6dcdd33b4d254a0dbd9a28053be45e5,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-02102,Trump I,Donald Trump,Executive Order,13768,Enhancing Public Safety in the Interior of the United States,2017-01-25,2017-01-30,82 FR 8799,https://www.federalregister.gov/documents/2017/01/30/2017-02102/enhancing-public-safety-in-the-interior-of-the-united-states,https://www.govinfo.gov/content/pkg/FR-2017-01-30/pdf/2017-02102.pdf,,"Revoked by: EO 13993 of January 20, 2021",2026-07-21,2026-07-21,8845906b38d79d01a5653ad4650cff3378c4ca2cec0065fe3b2122c41fb4f851,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-02281,Trump I,Donald Trump,Executive Order,13769,Protecting the Nation From Foreign Terrorist Entry Into the United States,2017-01-27,2017-02-01,82 FR 8977,https://www.federalregister.gov/documents/2017/02/01/2017-02281/protecting-the-nation-from-foreign-terrorist-entry-into-the-united-states,https://www.govinfo.gov/content/pkg/FR-2017-02-01/pdf/2017-02281.pdf,,"See: EO 13780, March 6, 2017",2026-07-21,2026-07-21,2c41a621d5abb4054337185e153c5c6419dd70e576cb0566fbb9efba3c30ce96,Routed,HOR-041,SRC-1208,Completed baseline screening linked this directive to the listed ARRP and source-development records.,2026-07-21
2017-02282,Trump I,Donald Trump,Memorandum,,Rebuilding the U.S. Armed Forces,2017-01-27,2017-02-01,82 FR 8983,https://www.federalregister.gov/documents/2017/02/01/2017-02282/rebuilding-the-us-armed-forces,https://www.govinfo.gov/content/pkg/FR-2017-02-01/pdf/2017-02282.pdf,,,2026-07-21,2026-07-21,473190617b467b0494d6da621112c3ea105904a61b0d74e25050926c82fab72f,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-02381,Trump I,Donald Trump,Other,,Organization of the National Security Council and the Homeland Security Council,2017-01-28,2017-02-02,82 FR 9119,https://www.federalregister.gov/documents/2017/02/02/2017-02381/organization-of-the-national-security-council-and-the-homeland-security-council,https://www.govinfo.gov/content/pkg/FR-2017-02-02/pdf/2017-02381.pdf,,,2026-07-21,2026-07-21,95bd9eff4a0815485cd42469e9a70f825d29d928d605aba451473da5c2e646ca,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-02386,Trump I,Donald Trump,Other,,Plan To Defeat the Islamic State of Iraq and Syria,2017-01-28,2017-02-02,82 FR 9125,https://www.federalregister.gov/documents/2017/02/02/2017-02386/plan-to-defeat-the-islamic-state-of-iraq-and-syria,https://www.govinfo.gov/content/pkg/FR-2017-02-02/pdf/2017-02386.pdf,,,2026-07-21,2026-07-21,f6fb50484e335438b4c0e28a86b2c2d1ec6e8e6a463cc033e362d0c6f0746833,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-02450,Trump I,Donald Trump,Executive Order,13770,Ethics Commitments by Executive Branch Appointees,2017-01-28,2017-02-03,82 FR 9333,https://www.federalregister.gov/documents/2017/02/03/2017-02450/ethics-commitments-by-executive-branch-appointees,https://www.govinfo.gov/content/pkg/FR-2017-02-03/pdf/2017-02450.pdf,,"Supersedes: EO 13490, January 21, 2009",2026-07-21,2026-07-21,11359255ed20be232692990d7d12a4602ca396f78d31e727ea14b2f6f565c4e8,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-02451,Trump I,Donald Trump,Executive Order,13771,Reducing Regulation and Controlling Regulatory Costs,2017-01-30,2017-02-03,82 FR 9339,https://www.federalregister.gov/documents/2017/02/03/2017-02451/reducing-regulation-and-controlling-regulatory-costs,https://www.govinfo.gov/content/pkg/FR-2017-02-03/pdf/2017-02451.pdf,,"See: EO 12866, September 30, 1993; EO 13777, February 24, 2017; EO 13782, March 27, 2017; EO 13790, April 25, 2017; EO 13817, December 20, 2017 Revoked by: EO 13992, January 20, 2021",2026-07-21,2026-07-21,9c5c98d87c1ebb17a9d8ce8956bf237cbc6c19ad2448057e3836e160d5714966,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-02559,Trump I,Donald Trump,Proclamation,9572,"National African American History Month, 2017",2017-02-01,2017-02-06,82 FR 9487,https://www.federalregister.gov/documents/2017/02/06/2017-02559/national-african-american-history-month-2017,https://www.govinfo.gov/content/pkg/FR-2017-02-06/pdf/2017-02559.pdf,,,2026-07-21,2026-07-21,f809fbbea02db8da05452c5d74f4d84ac312c0776e4d017798180821fbd0e70d,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-02655,Trump I,Donald Trump,Proclamation,9573,"American Heart Month, 2017",2017-02-02,2017-02-07,82 FR 9673,https://www.federalregister.gov/documents/2017/02/07/2017-02655/american-heart-month-2017,https://www.govinfo.gov/content/pkg/FR-2017-02-07/pdf/2017-02655.pdf,,,2026-07-21,2026-07-21,39e962407ea7c63d88ff1e04ef8abef365d490736797e3d87cdad9774f4d000b,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-02656,Trump I,Donald Trump,Memorandum,,Fiduciary Duty Rule,2017-02-03,2017-02-07,82 FR 9675,https://www.federalregister.gov/documents/2017/02/07/2017-02656/fiduciary-duty-rule,https://www.govinfo.gov/content/pkg/FR-2017-02-07/pdf/2017-02656.pdf,,,2026-07-21,2026-07-21,231bc20f99678f8478a2610de903bcd4aacb91594ce1297008f7b289b5c8c0bb,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-02762,Trump I,Donald Trump,Executive Order,13772,Core Principles for Regulating the United States Financial System,2017-02-03,2017-02-08,82 FR 9965,https://www.federalregister.gov/documents/2017/02/08/2017-02762/core-principles-for-regulating-the-united-states-financial-system,https://www.govinfo.gov/content/pkg/FR-2017-02-08/pdf/2017-02762.pdf,,"Revoked by: EO 14018, February 24, 2021",2026-07-21,2026-07-21,b474450cc8be5a65d557a449d4d7f932e403b8dc5acc21196530a723d0d18094,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-03113,Trump I,Donald Trump,Executive Order,13773,Enforcing Federal Law With Respect to Transnational Criminal Organizations and Preventing International Trafficking,2017-02-09,2017-02-14,82 FR 10691,https://www.federalregister.gov/documents/2017/02/14/2017-03113/enforcing-federal-law-with-respect-to-transnational-criminal-organizations-and-preventing,https://www.govinfo.gov/content/pkg/FR-2017-02-14/pdf/2017-03113.pdf,,,2026-07-21,2026-07-21,f74c92c26373ca6c8842d2523125f310527e4831d3650916d1afac8c87d443aa,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-03115,Trump I,Donald Trump,Executive Order,13774,"Preventing Violence Against Federal, State, Tribal, and Local Law Enforcement Officers",2017-02-09,2017-02-14,82 FR 10695,https://www.federalregister.gov/documents/2017/02/14/2017-03115/preventing-violence-against-federal-state-tribal-and-local-law-enforcement-officers,https://www.govinfo.gov/content/pkg/FR-2017-02-14/pdf/2017-03115.pdf,,,2026-07-21,2026-07-21,1a806f81f2bde16307b4207cdca1f31f835c96111d031ca9b55a02599df0ddd6,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-03116,Trump I,Donald Trump,Executive Order,13775,Providing an Order of Succession Within the Department of Justice,2017-02-09,2017-02-14,82 FR 10697,https://www.federalregister.gov/documents/2017/02/14/2017-03116/providing-an-order-of-succession-within-the-department-of-justice,https://www.govinfo.gov/content/pkg/FR-2017-02-14/pdf/2017-03116.pdf,,"Revokes: EO 13762, January 13, 2017 Revoked by: EO 13787, March 31, 2017",2026-07-21,2026-07-21,4688bb1fd6ca45c590b5c05e4b6dfc33892c2b556b2cbd31a5d1545cfc3ba7d2,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-03118,Trump I,Donald Trump,Executive Order,13776,Task Force on Crime Reduction and Public Safety,2017-02-09,2017-02-14,82 FR 10699,https://www.federalregister.gov/documents/2017/02/14/2017-03118/task-force-on-crime-reduction-and-public-safety,https://www.govinfo.gov/content/pkg/FR-2017-02-14/pdf/2017-03118.pdf,,,2026-07-21,2026-07-21,6a5fa15c3f03b923e653fa3f24d58e69d929f744bb98c35ca66c44a03edefc6a,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-04107,Trump I,Donald Trump,Executive Order,13777,Enforcing the Regulatory Reform Agenda,2017-02-24,2017-03-01,82 FR 12285,https://www.federalregister.gov/documents/2017/03/01/2017-04107/enforcing-the-regulatory-reform-agenda,https://www.govinfo.gov/content/pkg/FR-2017-03-01/pdf/2017-04107.pdf,,"See: EO 12866, September 30, 1993; EO 13563, January 18, 2011; EO 13771, January 30, 2017 Revoked by: EO 13992, January 20, 2021",2026-07-21,2026-07-21,5497cc0545b6a477ea95e707e1a65556343c7415e2a5532aca22a6d415d88ee7,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-04353,Trump I,Donald Trump,Executive Order,13778,"Restoring the Rule of Law, Federalism, and Economic Growth by Reviewing the ""Waters of the United States"" Rule",2017-02-28,2017-03-03,82 FR 12497,https://www.federalregister.gov/documents/2017/03/03/2017-04353/restoring-the-rule-of-law-federalism-and-economic-growth-by-reviewing-the-waters-of-the-united,https://www.govinfo.gov/content/pkg/FR-2017-03-03/pdf/2017-04353.pdf,,"See: EO 13790 of April 25, 2017; Revoked by: EO 13990, January 20, 2021",2026-07-21,2026-07-21,6f9f849f6be6071292b3e18ed99ece18337e8d13e3b674693b98c35b2514adb1,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-04357,Trump I,Donald Trump,Executive Order,13779,White House Initiative To Promote Excellence and Innovation at Historically Black Colleges and Universities,2017-02-28,2017-03-03,82 FR 12499,https://www.federalregister.gov/documents/2017/03/03/2017-04357/white-house-initiative-to-promote-excellence-and-innovation-at-historically-black-colleges-and,https://www.govinfo.gov/content/pkg/FR-2017-03-03/pdf/2017-04357.pdf,,"Revokes: EO 13532, February 26, 2010 Continued by: EO 13811, September 29, 2017 Superseded by: EP 14041, September 3, 2021",2026-07-21,2026-07-21,8045ab67775055d000357e4f10e6113dd2deb0baa213ce90c789850591616b10,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-04503,Trump I,Donald Trump,Proclamation,9574,"American Red Cross Month, 2017",2017-03-01,2017-03-06,82 FR 12707,https://www.federalregister.gov/documents/2017/03/06/2017-04503/american-red-cross-month-2017,https://www.govinfo.gov/content/pkg/FR-2017-03-06/pdf/2017-04503.pdf,,,2026-07-21,2026-07-21,b922803e75cffc3e2d2ea82739f852f9cd057f67007b4b796214e8d7b3a7c9ed,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-04504,Trump I,Donald Trump,Proclamation,9575,"Irish-American Heritage Month, 2017",2017-03-01,2017-03-06,82 FR 12709,https://www.federalregister.gov/documents/2017/03/06/2017-04504/irish-american-heritage-month-2017,https://www.govinfo.gov/content/pkg/FR-2017-03-06/pdf/2017-04504.pdf,,,2026-07-21,2026-07-21,ad6f42ef6db803b904be9967e42533589f4be7dabfcd638bf49240a43eef07ed,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-04505,Trump I,Donald Trump,Proclamation,9576,"Women's History Month, 2017",2017-03-01,2017-03-06,82 FR 12711,https://www.federalregister.gov/documents/2017/03/06/2017-04505/womens-history-month-2017,https://www.govinfo.gov/content/pkg/FR-2017-03-06/pdf/2017-04505.pdf,,,2026-07-21,2026-07-21,409050a1a85cef43385184132ea05c611d94829de72eb31d3424e2b537088e31,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-04837,Trump I,Donald Trump,Executive Order,13780,Protecting the Nation From Foreign Terrorist Entry Into the United States,2017-03-06,2017-03-09,82 FR 13209,https://www.federalregister.gov/documents/2017/03/09/2017-04837/protecting-the-nation-from-foreign-terrorist-entry-into-the-united-states,https://www.govinfo.gov/content/pkg/FR-2017-03-09/pdf/2017-04837.pdf,,"See: EO 13769, January 27, 2017; EO 13815, October 24, 2017",2026-07-21,2026-07-21,2b6da14b7e24350d478f6d84c5d81de2102900ecd61f47a0dfb36b2a60501900,Routed,HOR-041,SRC-1280,Completed baseline screening linked this directive to the listed ARRP and source-development records.,2026-07-21
2017-04859,Trump I,Donald Trump,Proclamation,9577,"National Consumer Protection Week, 2017",2017-03-06,2017-03-09,82 FR 13223,https://www.federalregister.gov/documents/2017/03/09/2017-04859/national-consumer-protection-week-2017,https://www.govinfo.gov/content/pkg/FR-2017-03-09/pdf/2017-04859.pdf,,,2026-07-21,2026-07-21,f8d48afb87e7370f05a4a9cdf8afdaa56faf24f8d0e86c2a0eb2402c6afee91a,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
