Directive ID,Administration,President,Directive Type,Number,Title,Signed Date,Published Date,Federal Register Citation,Federal Register URL,Official PDF URL,Related Directive IDs,Relationship Notes,First Seen,Last Changed,Content Fingerprint,Review Status,ARRP Record IDs,Source IDs,Disposition Rationale,Reviewed Date
2021-08012,Biden,Joseph R. Biden Jr.,Proclamation,10180,160th Anniversary of the Unification of Italy and the Establishment of United States-Italy Diplomatic Relations,2021-04-13,2021-04-16,86 FR 20027,https://www.federalregister.gov/documents/2021/04/16/2021-08012/160th-anniversary-of-the-unification-of-italy-and-the-establishment-of-united-states-italy,https://www.govinfo.gov/content/pkg/FR-2021-04-16/pdf/2021-08012.pdf,,,2026-07-21,2026-07-21,400252a4410412e5fcdebce9987f42337a7b9c9a372636d6a5dec966e6c55993,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-08098,Biden,Joseph R. Biden Jr.,Executive Order,14024,Blocking Property With Respect To Specified Harmful Foreign Activities of the Government of the Russian Federation,2021-04-15,2021-04-19,86 FR 20249,https://www.federalregister.gov/documents/2021/04/19/2021-08098/blocking-property-with-respect-to-specified-harmful-foreign-activities-of-the-government-of-the,https://www.govinfo.gov/content/pkg/FR-2021-04-19/pdf/2021-08098.pdf,,"Amended by: EO 14114, December 12, 2023 See: EO 14329, August 6, 2025; Notice of March 24, 2026 (91 FR 15515)",2026-07-21,2026-07-21,a459058be2202e0ae5ade15dc181602a4d222ddfe81837d49db226aef4852aaf,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-08413,Biden,Joseph R. Biden Jr.,Proclamation,10181,"Honoring the Victims of the Tragedy in Indianapolis, Indiana",2021-04-16,2021-04-21,86 FR 20615,https://www.federalregister.gov/documents/2021/04/21/2021-08413/honoring-the-victims-of-the-tragedy-in-indianapolis-indiana,https://www.govinfo.gov/content/pkg/FR-2021-04-21/pdf/2021-08413.pdf,,,2026-07-21,2026-07-21,9d8faa9db775379669a1b7faa11a61287f741ecbcd3f387b375f767ec1090de4,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-08414,Biden,Joseph R. Biden Jr.,Proclamation,10182,"National Crime Victims' Rights Week, 2021",2021-04-16,2021-04-21,86 FR 20617,https://www.federalregister.gov/documents/2021/04/21/2021-08414/national-crime-victims-rights-week-2021,https://www.govinfo.gov/content/pkg/FR-2021-04-21/pdf/2021-08414.pdf,,,2026-07-21,2026-07-21,bdd3165e6d92d4c0fe814e3176ad28cd57debe1163feb9eff1576c50d8efc3b3,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-08415,Biden,Joseph R. Biden Jr.,Proclamation,10183,"National Volunteer Week, 2021",2021-04-16,2021-04-21,86 FR 20619,https://www.federalregister.gov/documents/2021/04/21/2021-08415/national-volunteer-week-2021,https://www.govinfo.gov/content/pkg/FR-2021-04-21/pdf/2021-08415.pdf,,,2026-07-21,2026-07-21,5533298f2d6f6e4ce3eca17baa6c1b5110b37bcfe732b7cc7b2283699e96cdbd,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-08545,Biden,Joseph R. Biden Jr.,Determination,2021-05,Emergency Presidential Determination on Refugee Admissions for Fiscal Year 2021,2021-04-16,2021-04-22,86 FR 21159,https://www.federalregister.gov/documents/2021/04/22/2021-08545/emergency-presidential-determination-on-refugee-admissions-for-fiscal-year-2021,https://www.govinfo.gov/content/pkg/FR-2021-04-22/pdf/2021-08545.pdf,,,2026-07-21,2026-07-21,a2e7d13bded9d229adf66290816a43d4f506b9e9fbdc97cc74669ab8be5dac7c,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-08547,Biden,Joseph R. Biden Jr.,Proclamation,10184,"National Park Week, 2021",2021-04-17,2021-04-22,86 FR 21161,https://www.federalregister.gov/documents/2021/04/22/2021-08547/national-park-week-2021,https://www.govinfo.gov/content/pkg/FR-2021-04-22/pdf/2021-08547.pdf,,,2026-07-21,2026-07-21,1c64a012e28c4463a339c798374821e0eecdb282fb3888e9a7bbc42ce150ed8b,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-08655,Biden,Joseph R. Biden Jr.,Proclamation,10185,Death of Walter Mondale,2021-04-20,2021-04-23,86 FR 21633,https://www.federalregister.gov/documents/2021/04/23/2021-08655/death-of-walter-mondale,https://www.govinfo.gov/content/pkg/FR-2021-04-23/pdf/2021-08655.pdf,,,2026-07-21,2026-07-21,31510e001f5b252634db7316ffb2c5d76897e29bc356bef4d8b9d63628a8f91c,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-08835,Biden,Joseph R. Biden Jr.,Proclamation,10186,"Earth Day, 2021",2021-04-22,2021-04-27,86 FR 22105,https://www.federalregister.gov/documents/2021/04/27/2021-08835/earth-day-2021,https://www.govinfo.gov/content/pkg/FR-2021-04-27/pdf/2021-08835.pdf,,,2026-07-21,2026-07-21,b0967444fff21d01ea741c64db0cb31ba6f82a7d7eee6573bd458cdf35d4ae7b,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-09001,Biden,Joseph R. Biden Jr.,Proclamation,10187,"World Intellectual Property Day, 2021",2021-04-23,2021-04-28,86 FR 22339,https://www.federalregister.gov/documents/2021/04/28/2021-09001/world-intellectual-property-day-2021,https://www.govinfo.gov/content/pkg/FR-2021-04-28/pdf/2021-09001.pdf,,,2026-07-21,2026-07-21,d449613e149d152324b9f3c7c17587e54c0ca39f4809cc6c3dc06ee2f1cd75c1,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
